merge_id,num_chunks,total_resolution_pattern
1694,25,NON|NON|NON|NON|NON|OURS|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON
1695,1,THEIRS
1701,3,OURSTHEIRS|NON|THEIRS
1707,7,OURS|OURS|BASE|THEIRS|OURS|OURS|OURS
1715,1,BASE
1725,1,THEIRS
1728,2,OURS|NON
1754,2,THEIRS|THEIRS
1769,1,OURS
1770,5,NON|THEIRS|THEIRS|THEIRS|OURS
1778,1,OURS
1788,1,OURS
1801,1,OURS
1822,1,THEIRS
1832,1,THEIRS
1838,1,OURS
1868,1,OURS
1877,1,OURS
1880,4,BASE|THEIRS|BASE|THEIRS
1884,6,THEIRS|THEIRS|THEIRS|THEIRS|OURS|THEIRS
1886,2,OURS|OURS
1916,15,OURS|OURS|THEIRS|OURS|OURS|OURS|NON|OURS|THEIRS|THEIRS|OURS|NON|THEIRS|THEIRS|NON
1935,1,OURS
1944,1,THEIRS
1948,1,OURS
1949,1,OURS
1953,2,NON|NON
1958,1,OURS
1966,9,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
1985,1,NON
1989,1,OURS
1991,2,BASE|OURS
2017,1,NON
2040,1,NON
2045,3,OURS|NON|THEIRS
2066,2,NON|NON
2067,1,OURS
2075,1,NON
2092,3,NON|THEIRS|OURSTHEIRS
2107,1,THEIRS
2137,1,THEIRS
2157,1,OURS
2162,2,OURSTHEIRS|NON
2164,1,BASE
2203,3,OURS|OURS|OURS
2210,3,OURS|OURS|BASE
2214,5,THEIRS|OURS|OURS|OURS|NON
2217,3,OURSTHEIRS|OURS|OURS
2222,1,OURS
2240,2,THEIRS|THEIRS
2248,1,OURSTHEIRS
2250,74,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2252,3,THEIRS|OURS|OURS
2264,1,THEIRS
2267,83,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURSBASE|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2269,21,THEIRS|OURS|NON|OURS|OURS|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2272,15,NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS|OURS|BASE
2280,1,THEIRS
2287,42,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2295,2,OURS|NON
2298,1,OURS
2299,2,THEIRS|NON
2304,1,THEIRS
2308,1,NON
2317,57,OURS|NON|OURS|NON|BASETHEIRS|OURSTHEIRS|NON|OURSBASE|THEIRS|BASE|NON|NON|NON|BASE|NON|NON|THEIRS|THEIRS|OURSTHEIRS|NON|THEIRS|NON|NON|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURS|OURS|BASETHEIRS|NON|NON|NON|OURSTHEIRS|NON|OURSTHEIRS|OURS|OURS|OURS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|NON|NON|OURS|OURSTHEIRS|OURSTHEIRS|NON|OURSTHEIRS|OURSTHEIRS|NON|NON|NON|NON|NON|THEIRS|NON|THEIRS
2322,4,OURS|OURSTHEIRS|OURSTHEIRS|OURS
2352,24,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS
2365,2,THEIRS|THEIRS
2379,1,NON
2390,2,THEIRS|THEIRS
2398,1,OURSTHEIRS
2420,6,THEIRS|THEIRS|THEIRS|OURS|OURS|OURS
2423,1,OURS
2447,1,NON
2457,2,THEIRS|NON
2466,2,OURS|NON
2511,1,NON
2529,1,THEIRS
2530,2,OURSTHEIRS|THEIRS
2534,1,NON
2557,6,OURS|OURS|OURS|OURS|OURS|OURS
2567,1,OURS
2571,1,THEIRS
2575,1,NON
2578,1,NON
2591,1,NON
2597,2,OURS|OURS
2604,3,OURS|OURS|NON
2610,1,NON
2611,1,NON
2612,1,NON
2621,1,THEIRS
2626,5,OURS|OURS|OURS|OURS|OURS
2631,4,NON|NON|NON|NON
2635,1,OURS
2644,2,OURS|OURS
2677,1,THEIRS
2679,7,OURS|OURSTHEIRS|NON|NON|NON|OURS|NON
2686,1,THEIRS
2695,15,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2704,1,THEIRS
2708,2,NON|OURS
2716,2,THEIRS|NON
2735,1,OURSTHEIRS
2743,3,NON|THEIRS|NON
2751,1,OURSBASE
2754,1,THEIRS
2796,4,OURS|OURS|OURS|NON
2798,1,NON
2803,7,THEIRS|NON|OURS|OURS|OURS|OURS|OURS
2810,1,NON
2812,1,THEIRS
2816,15,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2829,1,NON
2833,15,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2837,7,NON|NON|THEIRS|OURS|OURS|OURS|THEIRS
2870,10,OURS|OURS|OURS|OURS|OURS|BASETHEIRS|OURS|NON|OURS|NON
2875,1,NON
2885,3,OURS|OURS|NON
2892,1,OURSBASE
2900,4,THEIRS|OURS|THEIRS|THEIRS
2910,1,OURS
2914,1,NON
2932,2,NON|NON
2943,6,NON|OURS|OURS|OURS|OURS|OURS
2946,35,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|THEIRS
2947,1,NON
2958,8,THEIRS|OURS|NON|OURS|THEIRS|THEIRS|THEIRS|NON
2972,1,OURS
2981,1,OURS
2986,1,BASE
2987,9,NON|NON|OURS|THEIRS|THEIRS|THEIRS|OURSTHEIRS|THEIRS|THEIRS
2994,100,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
2995,3,OURS|OURS|OURSBASE
3001,2,OURS|OURS
3012,1,NON
3018,9,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
3020,1,THEIRS
3032,1,OURS
3045,2,BASE|THEIRS
3068,1,NON
3077,1,NON
3104,13,OURS|NON|THEIRS|THEIRS|BASE|OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|BASETHEIRS
3111,3,OURSTHEIRS|OURS|OURSTHEIRS
3139,5,THEIRS|OURS|OURS|THEIRS|THEIRS
3178,12,OURS|THEIRS|OURSBASE|OURS|OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS
3188,1,NON
3190,1,OURS
3216,3,OURS|THEIRS|OURS
3219,5,OURS|OURS|OURS|NON|OURSTHEIRS
3259,1,NON
3263,1,NON
3285,1,OURS
3304,1,NON
3315,2,THEIRS|THEIRS
3330,6,THEIRS|NON|NON|NON|THEIRS|THEIRS
3351,1,OURS
3357,2,OURS|THEIRS
3371,1,NON
3387,13,OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURSTHEIRS|THEIRS
3392,99,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
3394,3,OURSTHEIRS|NON|OURSTHEIRS
3396,27,BASE|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURSTHEIRS|NON|OURSTHEIRS|NON
3401,1,THEIRS
3420,1,OURSTHEIRS
3439,4,OURS|OURS|OURS|OURS
3471,1,OURS
3484,1,OURS
3502,6,OURS|OURS|OURS|OURS|THEIRS|OURS
3505,1,THEIRS
3515,1,NON
3533,1,NON
3540,2,OURS|OURS
3552,1,BASETHEIRS
3555,5,OURS|OURS|OURS|OURS|NON
3568,1,THEIRS
3592,2,THEIRS|NON
3603,1,NON
3606,2,OURS|THEIRS
3610,10,THEIRS|NON|OURS|OURS|OURS|THEIRS|OURS|OURSTHEIRS|NON|OURS
3632,2,THEIRS|THEIRS
3637,2,NON|THEIRS
3642,1,OURS
3661,2,OURS|OURS
3669,8,THEIRS|THEIRS|OURS|THEIRS|THEIRS|NON|NON|NON
3672,1,OURS
3682,7,OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS
3687,5,OURS|OURS|OURS|OURS|OURS
3695,2,OURSTHEIRS|NON
3705,1,NON
3715,1,OURSTHEIRS
3718,1,NON
3720,1,OURSTHEIRS
3730,1,THEIRS
3734,2,BASE|OURS
3735,1,OURS
3745,15,OURS|OURS|BASETHEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
3746,1,NON
3750,1,OURS
3776,1,THEIRS
3792,1,OURSTHEIRS
3806,12,NON|NON|NON|BASE|BASE|BASE|BASE|NON|BASE|NON|BASE|THEIRS
3814,1,NON
3818,11,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
3841,2,OURS|OURS
3854,1,THEIRS
3867,3,THEIRS|THEIRS|THEIRS
3874,1,THEIRS
3877,1,THEIRS
3894,4,NON|NON|THEIRS|NON
3903,1,OURS
3906,1,OURS
3912,1,NON
3913,1,THEIRS
3947,20,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
3948,2,OURS|OURS
3965,3,OURSTHEIRS|BASE|OURSTHEIRS
3986,3,THEIRS|OURS|THEIRS
3987,1,OURS
4002,17,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
4017,5,OURS|OURS|OURS|OURS|OURS
4040,1,OURS
4041,2,NON|OURS
4044,21,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
4049,2,OURS|OURS
4073,1,OURS
4077,1,OURS
4078,3,OURS|OURS|OURS
4082,2,OURS|NON
4109,2,OURS|THEIRS
4134,12,OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|OURS|NON|NON|THEIRS|THEIRS
4146,1,THEIRS
4165,6,BASE|THEIRS|THEIRS|THEIRS|BASE|NON
4177,16,NON|THEIRS|OURS|OURS|OURS|THEIRS|NON|NON|NON|OURS|OURS|OURS|OURS|OURS|OURS|NON
4197,4,NON|NON|OURS|NON
4198,2,OURS|OURS
4232,1,OURS
4233,3,THEIRS|THEIRS|THEIRS
4259,4,THEIRS|THEIRS|OURSTHEIRS|THEIRS
4262,1,OURS
4277,2,OURS|OURS
4280,1,OURSTHEIRS
4294,2,NON|NON
4303,1,OURS
4309,1,OURS
4328,44,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|NON|NON|NON|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
4330,1,THEIRS
4333,1,OURS
4367,2,OURS|OURS
4381,1,THEIRS
4385,1,OURS
4388,1,OURS
4401,1,NON
4410,3,NON|NON|NON
4413,1,OURS
4418,4,NON|THEIRS|OURSTHEIRS|NON
4425,1,THEIRS
4434,2,OURS|OURS
4475,2,NON|NON
4485,1,OURS
4491,1,OURSTHEIRS
4503,1,OURS
4504,12,NON|OURS|OURS|NON|NON|OURS|NON|NON|NON|NON|OURS|NON
4551,2,NON|NON
4580,8,THEIRS|OURS|OURS|OURSBASE|THEIRS|BASE|THEIRS|THEIRS
4584,1,THEIRS
4588,1,THEIRS
4594,2,OURS|THEIRS
4598,2,OURS|OURS
4603,100,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
4614,2,THEIRS|THEIRS
4625,85,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|NON|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|NON|NON|THEIRS|OURS|OURS|OURS|BASE|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURSBASE|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
4637,2,OURSTHEIRS|THEIRS
4687,1,OURS
4716,3,BASE|THEIRS|OURS
4724,2,NON|BASE
4732,1,OURS
4737,2,OURS|OURS
4751,1,NON
4765,1,THEIRS
4770,1,THEIRS
4791,2,OURSTHEIRS|BASE
4809,1,OURS
4816,4,OURS|OURS|OURSBASE|OURSBASE
4820,1,OURS
4840,1,THEIRS
4854,4,NON|OURS|OURSTHEIRS|THEIRS
4858,1,OURS
4860,1,OURS
4861,1,NON
4879,1,OURSBASE
4893,1,OURSTHEIRS
4905,2,THEIRS|THEIRS
4912,2,OURS|NON
4920,2,NON|NON
4963,1,NON
4986,1,OURS
4998,1,OURS
5006,2,THEIRS|THEIRS
5022,1,OURS
5026,1,THEIRS
5031,1,OURS
5054,11,OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|THEIRS|OURSTHEIRS|NON|NON
5078,1,NON
5088,1,OURSTHEIRS
5090,1,NON
5094,2,OURS|OURS
5098,1,OURS
5117,1,NON
5122,1,OURSTHEIRS
5127,1,OURS
5150,1,OURSTHEIRS
5156,2,OURS|OURS
5162,3,THEIRS|OURS|NON
5164,2,THEIRS|THEIRS
5181,2,NON|THEIRS
5194,5,OURS|OURS|OURS|OURS|OURS
5220,2,THEIRS|OURS
5238,4,OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS
5241,3,THEIRS|THEIRS|THEIRS
5243,2,OURSTHEIRS|OURSTHEIRS
5251,13,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
5252,1,NON
5261,4,NON|NON|NON|THEIRS
5262,1,OURS
5273,1,OURSTHEIRS
5278,1,NON
5279,1,OURSBASE
5288,3,NON|NON|OURS
5289,6,OURS|NON|OURS|NON|NON|NON
5295,1,NON
5297,2,NON|OURS
5301,1,NON
5305,15,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
5313,1,OURS
5318,2,NON|THEIRS
5340,1,THEIRS
5353,10,OURS|OURS|OURS|OURS|OURS|OURS|OURSTHEIRS|OURS|OURS|THEIRS
5358,2,BASE|OURS
5364,1,THEIRS
5370,1,OURS
5410,3,OURS|OURS|OURS
5419,1,NON
5421,1,OURS
5430,1,OURSTHEIRS
5433,2,OURS|OURS
5438,1,THEIRS
5468,1,NON
5469,1,THEIRS
5477,1,NON
5483,1,OURS
5487,1,NON
5489,1,OURS
5518,4,NON|OURS|THEIRS|THEIRS
