merge_id,num_chunks,total_resolution_pattern
431,165,OURS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|THEIRS|NON|THEIRS|THEIRS|THEIRS|THEIRS|BASETHEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|BASETHEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|NON|NON|THEIRS|NON|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|OURSTHEIRS|THEIRS|THEIRS|OURSTHEIRS|THEIRS|THEIRS|NON|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|THEIRS|THEIRS|THEIRS|THEIRS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|THEIRS
432,2,OURS|OURS
437,5,NON|THEIRS|NON|THEIRS|THEIRS
459,1,OURS
462,2,NON|THEIRS
472,3,BASE|THEIRS|OURS
492,1,NON
508,5,THEIRS|OURS|OURS|OURS|NON
516,1,NON
542,1,OURS
547,6,OURS|OURS|OURS|OURS|OURS|OURS
559,2,OURSTHEIRS|THEIRS
566,1,THEIRS
575,2,THEIRS|OURSTHEIRS
579,4,OURSTHEIRS|OURSTHEIRS|OURS|OURS
580,3,OURS|OURS|THEIRS
581,1,OURS
583,19,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|BASETHEIRS|THEIRS
594,3,NON|NON|THEIRS
603,1,THEIRS
620,1,OURS
643,1,OURS
649,1,THEIRS
653,3,OURS|OURS|OURS
658,2,OURS|NON
671,1,NON
677,1,THEIRS
689,4,NON|THEIRS|THEIRS|THEIRS
698,3,THEIRS|OURS|OURS
701,1,OURSTHEIRS
705,1,THEIRS
721,7,NON|OURS|NON|NON|THEIRS|THEIRS|THEIRS
725,2,THEIRS|THEIRS
730,1,NON
731,12,OURS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURS|OURS
736,1,THEIRS
743,2,THEIRS|THEIRS
748,2,THEIRS|NON
759,4,THEIRS|NON|NON|THEIRS
788,1,OURS
806,1,NON
811,1,OURS
817,1,NON
818,1,OURS
824,8,THEIRS|THEIRS|THEIRS|NON|OURSTHEIRS|THEIRS|OURSTHEIRS|NON
838,15,NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
850,3,THEIRS|THEIRS|THEIRS
854,1,NON
871,5,OURS|OURS|OURS|OURS|OURS
875,7,THEIRS|OURS|OURS|OURS|THEIRS|OURS|THEIRS
876,3,OURS|NON|OURS
881,1,OURS
882,1,NON
883,2,THEIRS|OURSTHEIRS
893,2,OURS|OURS
906,1,OURSTHEIRS
927,1,OURS
928,2,EMPTY|EMPTY
942,1,THEIRS
950,2,NON|OURS
979,1,OURSTHEIRS
981,2,THEIRS|THEIRS
987,2,OURSTHEIRS|THEIRS
1007,1,OURS
1017,6,THEIRS|THEIRS|NON|NON|NON|THEIRS
1018,1,NON
1028,6,NON|NON|NON|NON|NON|NON
1041,5,NON|OURSBASE|OURSBASE|NON|OURS
1051,1,OURS
1059,1,NON
1076,1,NON
1086,3,THEIRS|THEIRS|THEIRS
1088,1,OURS
1105,5,NON|NON|NON|NON|NON
1118,1,OURSTHEIRS
1143,1,BASE
1154,1,OURS
1159,1,NON
1208,1,THEIRS
1209,2,NON|THEIRS
1219,1,OURSTHEIRS
1220,7,NON|NON|OURS|OURS|NON|NON|EMPTY
1224,3,THEIRS|OURS|THEIRS
1236,1,OURS
1250,1,NON
1256,1,OURS
1258,1,NON
1268,2,NON|NON
1282,6,OURS|OURS|THEIRS|OURS|OURS|OURS
1297,3,THEIRS|OURS|THEIRS
1303,1,OURS
1305,8,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
1322,2,OURSTHEIRS|OURSTHEIRS
1347,11,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
1376,1,THEIRS
1387,5,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
1389,2,BASE|THEIRS
1391,6,OURS|OURS|NON|NON|BASE|BASE
1403,4,OURS|OURS|OURS|OURS
1408,2,OURS|OURS
1422,1,THEIRS
1424,3,OURS|OURS|NON
1429,1,THEIRS
1437,1,NON
1456,2,THEIRS|OURS
1458,1,THEIRS
1460,1,BASE
1466,3,OURS|BASETHEIRS|BASETHEIRS
1477,1,THEIRS
1492,1,NON
1493,3,OURS|OURS|OURS
1495,1,OURS
1506,9,THEIRS|OURS|BASE|OURS|THEIRS|NON|NON|NON|NON
1508,2,THEIRS|THEIRS
1529,3,OURS|OURS|OURS
1544,1,NON
1567,6,NON|THEIRS|OURSTHEIRS|OURSTHEIRS|NON|OURS
1578,2,THEIRS|THEIRS
1606,3,OURS|NON|THEIRS
1607,1,THEIRS
1622,1,THEIRS
1633,28,OURS|OURS|NON|OURS|OURS|OURS|THEIRS|OURS|THEIRS|THEIRS|BASETHEIRS|OURS|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|OURS|OURS|OURS|OURS
1651,9,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|NON
1652,3,OURS|BASE|OURS
1658,4,NON|OURS|OURS|OURS
1696,3,NON|THEIRS|THEIRS
1699,6,OURS|THEIRS|NON|NON|NON|NON
1704,15,NON|NON|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
1720,1,OURS
1730,2,THEIRS|THEIRS
1732,1,THEIRS
1741,1,OURS
1772,14,OURS|NON|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|THEIRS|OURS|OURS|OURS|OURS|OURS
1776,2,OURS|NON
1777,1,NON
1781,1,OURSTHEIRS
1794,1,NON
1798,5,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
1806,1,NON
1812,2,OURSTHEIRS|OURSTHEIRS
1816,1,OURS
1817,5,OURS|OURS|OURS|EMPTY|THEIRS
1819,1,NON
1821,2,OURS|OURS
1845,11,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
1849,1,OURS
1857,3,THEIRS|BASE|OURSBASE
1869,2,OURS|OURS
1876,1,OURS
1878,1,OURSTHEIRS
1915,22,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
1917,2,OURS|NON
1925,1,THEIRS
1928,15,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
1933,1,OURSBASE
1951,1,NON
1956,2,THEIRS|NON
1964,3,OURS|OURS|OURS
1968,2,NON|THEIRS
1978,7,THEIRS|THEIRS|THEIRS|OURS|OURS|OURS|OURS
1986,4,THEIRS|THEIRS|THEIRS|THEIRS
1993,1,OURS
2002,1,BASETHEIRS
2011,2,NON|THEIRS
2018,1,OURS
2020,58,OURS|OURS|OURSTHEIRS|NON|OURS|THEIRS|NON|NON|OURS|OURS|THEIRS|THEIRS|THEIRS|NON|THEIRS|OURS|NON|OURS|OURS|OURS|NON|OURS|OURS|NON|NON|NON|NON|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|NON|OURS|OURS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
2046,1,OURS
2048,1,OURS
2053,1,THEIRS
2090,1,THEIRS
2093,1,THEIRS
2099,1,OURSTHEIRS
2111,1,OURS
2116,1,NON
2132,1,OURS
2136,1,NON
2141,1,NON
2152,2,NON|OURS
2161,2,NON|THEIRS
2168,2,THEIRS|NON
2191,5,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
2194,4,THEIRS|THEIRS|THEIRS|THEIRS
2211,3,NON|THEIRS|THEIRS
2225,26,OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS|NON|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2228,2,THEIRS|THEIRS
2232,1,OURS
2251,6,NON|OURS|OURS|NON|OURSTHEIRS|NON
2255,79,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2305,2,THEIRS|THEIRS
2307,1,OURS
2313,1,OURSTHEIRS
2318,25,THEIRS|OURS|OURS|NON|OURS|OURS|OURS|OURS|NON|THEIRS|OURS|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|OURSTHEIRS|OURS|NON|OURSTHEIRS
2321,1,OURS
2333,9,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2339,1,OURS
2358,2,NON|OURS
2363,2,OURSTHEIRS|THEIRS
2370,1,THEIRS
2380,3,NON|NON|NON
2384,4,OURS|OURS|OURS|OURS
2389,7,OURS|OURS|NON|NON|OURS|NON|OURS
2392,1,OURSTHEIRS
2400,1,THEIRS
2402,1,OURS
2409,1,OURSTHEIRS
2422,5,OURS|OURS|OURS|OURS|OURS
2460,2,THEIRS|THEIRS
2468,5,OURSTHEIRS|NON|THEIRS|NON|NON
2473,8,NON|OURS|NON|OURS|NON|OURS|NON|NON
2479,1,OURS
2492,2,NON|NON
2500,2,THEIRS|THEIRS
2503,1,THEIRS
2509,3,OURS|OURS|OURS
2522,1,THEIRS
2523,1,THEIRS
2552,1,OURS
2561,1,THEIRS
2579,1,NON
2590,1,NON
2601,25,THEIRS|OURS|THEIRS|THEIRS|OURS|THEIRS|THEIRS|OURS|OURS|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|OURS|OURS|OURS|OURS|THEIRS|THEIRS
2613,1,NON
2642,2,NON|OURS
2643,8,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|BASE|THEIRS
2650,2,NON|NON
2662,1,THEIRS
2664,1,OURSTHEIRS
2670,1,OURS
2674,4,OURS|THEIRS|NON|NON
2685,1,NON
2694,15,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2706,1,NON
2710,4,NON|NON|THEIRS|THEIRS
2711,1,OURS
2731,1,OURS
2757,1,OURS
2763,22,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2764,3,NON|OURS|NON
2774,1,NON
2791,2,OURS|OURS
2800,5,THEIRS|OURS|OURS|OURS|OURS
2808,8,NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2818,1,NON
2820,1,NON
2834,2,OURS|NON
2839,9,OURS|OURS|OURS|NON|NON|THEIRS|NON|THEIRS|OURS
2844,2,OURS|NON
2855,4,OURS|OURS|OURS|OURS
2862,7,OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS
2873,1,OURS
2884,1,OURS
2905,5,NON|THEIRS|OURS|OURS|OURS
2906,5,NON|NON|THEIRS|NON|NON
2912,1,THEIRS
2913,1,OURS
2926,1,OURS
2930,1,OURS
2934,1,OURSTHEIRS
2936,1,OURS
2939,4,OURS|OURS|OURS|OURS
2945,57,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
2948,22,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
2952,2,OURS|OURSTHEIRS
2989,1,OURS
3007,1,THEIRS
3017,1,NON
3022,23,OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|THEIRS|OURS|THEIRS
3023,1,OURS
3036,1,NON
3038,1,NON
3050,4,THEIRS|THEIRS|NON|BASE
3055,2,NON|OURS
3069,1,NON
3078,1,OURS
3106,2,THEIRS|THEIRS
3122,1,OURS
3125,1,OURSTHEIRS
3129,1,NON
3149,1,NON
3150,2,THEIRS|THEIRS
3152,1,OURSTHEIRS
3158,1,NON
3160,2,THEIRS|THEIRS
3186,1,BASE
3195,2,THEIRS|NON
3201,3,OURS|OURS|OURS
3210,1,THEIRS
3238,12,NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON
3252,9,OURS|OURS|NON|OURSTHEIRS|THEIRS|NON|NON|NON|OURS
3254,1,NON
3266,2,OURS|NON
3277,3,OURS|NON|OURS
3302,1,OURSTHEIRS
3307,1,NON
3316,1,NON
3317,2,OURS|NON
3347,7,NON|NON|NON|THEIRS|NON|NON|NON
3350,7,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
3380,1,OURS
3384,3,THEIRS|THEIRS|NON
3399,1,OURS
3405,2,OURS|OURS
3406,1,THEIRS
3422,5,OURS|OURS|THEIRS|THEIRS|THEIRS
3423,1,OURS
3429,1,OURS
3433,8,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
3434,6,OURS|OURS|OURS|OURS|OURS|OURS
3451,1,THEIRS
3472,1,BASE
3476,6,BASE|BASE|BASE|BASE|BASE|OURS
3478,6,OURS|OURS|OURS|OURS|OURS|OURS
3481,12,OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS|NON|OURS|NON|NON
3483,1,OURS
3487,1,OURS
3500,9,THEIRS|NON|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS
3503,1,OURS
3504,1,OURS
3525,1,OURS
3545,3,THEIRS|THEIRS|THEIRS
3550,1,THEIRS
3560,1,OURS
3563,3,OURS|OURS|OURS
3565,60,NON|THEIRS|THEIRS|THEIRS|NON|THEIRS|THEIRS|NON|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON
3578,1,OURSTHEIRS
3579,1,OURSTHEIRS
3587,1,NON
3597,1,OURSTHEIRS
3620,2,OURS|NON
3621,2,OURSTHEIRS|THEIRS
3630,1,NON
3633,5,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
3634,1,THEIRS
3647,4,OURS|OURS|OURS|OURS
3663,1,BASE
3664,78,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
3665,11,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
3668,2,THEIRS|THEIRS
3671,2,OURS|OURS
3686,13,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
3689,2,OURS|OURS
3690,1,NON
3692,4,NON|THEIRS|NON|NON
3709,7,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|NON|OURS
3771,1,OURS
3775,1,OURS
3791,1,OURS
3795,2,NON|NON
3838,4,OURSTHEIRS|OURS|OURS|OURS
3840,5,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
3861,2,BASE|OURSTHEIRS
3868,1,OURS
3871,2,OURS|OURS
3882,2,OURS|OURS
3909,1,NON
3914,8,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
3926,5,OURS|OURS|OURS|OURS|OURS
3930,1,OURS
3945,2,NON|NON
3953,2,OURS|NON
3956,3,OURS|OURS|OURS
3966,1,NON
3968,2,NON|NON
4007,20,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
4016,3,OURS|OURS|OURS
4018,1,THEIRS
4061,1,OURS
4067,1,OURSTHEIRS
4069,22,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
4080,1,OURS
4085,14,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
4089,1,OURS
4117,66,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
4141,1,NON
4160,2,NON|OURS
4176,1,THEIRS
4179,1,NON
4209,1,OURSTHEIRS
4217,1,OURS
4260,1,OURS
4261,1,OURS
4265,1,OURS
4278,1,OURS
4291,2,NON|THEIRS
4299,5,OURS|OURS|OURS|OURS|OURS
4311,1,OURS
4313,3,NON|OURS|NON
4314,1,THEIRS
4315,5,NON|NON|NON|NON|NON
4352,2,OURS|OURSTHEIRS
4355,21,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
4393,5,NON|OURS|OURS|OURS|OURS
4394,1,NON
4400,4,OURSTHEIRS|NON|NON|NON
4406,1,OURS
4411,1,NON
4417,4,THEIRS|THEIRS|THEIRS|OURS
4430,14,THEIRS|OURS|OURS|NON|OURS|OURS|THEIRS|OURS|BASE|OURS|OURS|NON|NON|NON
4440,1,NON
4442,43,NON|NON|OURS|OURS|NON|NON|OURS|OURS|THEIRS|NON|NON|NON|OURS|THEIRS|THEIRS|NON|THEIRS|NON|NON|NON|NON|NON|OURS|OURS|NON|NON|NON|NON|NON|NON|NON|NON|OURS|NON|NON|NON|NON|NON|OURS|NON|NON|NON|OURS
4443,2,NON|OURS
4449,2,OURS|OURS
4484,1,OURS
4488,1,THEIRS
4508,3,OURS|NON|THEIRS
4512,1,OURS
4519,7,OURS|NON|OURS|OURS|NON|OURS|OURS
4526,1,NON
4528,1,OURS
4529,1,NON
4540,1,NON
4578,2,THEIRS|THEIRS
4579,5,THEIRS|THEIRS|THEIRS|THEIRS|BASE
4586,2,OURS|NON
4599,1,OURS
4607,1,OURS
4621,2,OURS|OURS
4624,2,NON|THEIRS
4641,1,OURS
4642,1,OURS
4649,7,OURS|OURS|THEIRS|OURS|NON|OURS|THEIRS
4654,1,OURSTHEIRS
4669,2,THEIRS|NON
4671,1,NON
4679,1,OURSTHEIRS
4710,1,OURS
4715,1,OURS
4726,2,THEIRS|OURS
4757,4,NON|OURS|THEIRS|OURS
4775,3,OURSTHEIRS|OURS|THEIRS
4779,1,NON
4783,3,NON|OURS|NON
4792,4,OURS|THEIRS|THEIRS|THEIRS
4800,1,OURS
4832,1,THEIRS
4839,1,OURSTHEIRS
4842,1,OURS
4864,1,OURS
4872,1,OURS
4888,8,OURSTHEIRS|NON|NON|NON|OURS|OURS|NON|OURS
4895,2,OURSTHEIRS|NON
4898,3,THEIRS|OURS|NON
4913,1,NON
4918,1,OURS
4923,2,OURS|NON
4930,2,OURS|OURS
4943,3,OURSBASE|NON|OURS
4950,118,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
4965,1,THEIRS
4969,3,OURS|OURS|OURS
4983,1,OURS
4990,1,OURS
4994,1,OURS
5000,2,OURS|OURS
5018,2,OURS|OURSBASE
5039,1,THEIRS
5053,5,THEIRS|NON|THEIRS|NON|NON
5070,1,THEIRS
5073,3,OURS|OURS|NON
5076,1,OURS
5095,2,OURS|OURS
5119,1,NON
5132,1,NON
5134,2,OURS|OURS
5140,5,OURS|OURS|OURS|OURS|NON
5143,5,NON|NON|THEIRS|THEIRS|THEIRS
5193,2,OURSTHEIRS|OURSTHEIRS
5222,1,OURS
5226,1,THEIRS
5227,1,THEIRS
5230,2,OURS|OURS
5246,3,THEIRS|THEIRS|THEIRS
5247,1,OURS
5250,1,THEIRS
5268,12,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
5270,1,THEIRS
5276,1,THEIRS
5282,1,THEIRS
5285,1,THEIRS
5286,1,OURS
5307,1,THEIRS
5310,1,OURSTHEIRS
5311,1,NON
5323,1,OURS
5325,2,OURSTHEIRS|THEIRS
5336,3,OURS|OURS|OURS
5341,10,NON|NON|NON|NON|OURS|OURS|OURS|OURS|OURS|OURS
5354,2,NON|NON
5366,4,THEIRS|NON|THEIRS|THEIRS
5394,3,THEIRS|THEIRS|THEIRS
5436,2,THEIRS|OURSTHEIRS
5450,6,OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|NON|NON|OURS
5462,2,THEIRS|THEIRS
5470,1,OURS
5481,4,OURS|OURS|OURS|OURS
5490,7,THEIRS|OURS|NON|OURS|OURS|OURSTHEIRS|THEIRS
5493,1,THEIRS
